Login, تسجيل الدخول
Logout, تسجيل الخروج
Email, البريد الإلكتروني
Password, كلمة المرور
Forgot your password?, هل نسيت كلمة المرور؟
Create an account, انشئ حساب
Register, تسجيل
Full Name, الإسم الكامل
Full name, الإسم الكامل
SIGN IN, تسجيل الدخول
Order History, سجل المشتريات
Account Details, بيانات الحساب
You have not placed any orders yet, لم تقم بأي عملية شراء بعد
My Account, حسابي
Already have an account?, هل لديك حساب بالفعل؟
Contact information, معلومات التواصل
City, المدينة
Account Information, معلومات الحساب
Address, العنوان
Postcode, الرمز البريدي
Postcode is required, الرمز البريدي مطلوب
Telephone is required, رقم الهاتف مطلوب
Telephone, رقم الهاتف
Full name is required, الإسم الكامل مطلوب
Country is required, الدولة مطلوبة
Country, الدولة
Province is required, المنطقة مطلوبة
Province, المنطقة
Billing Address, عنوان الفوترة
Shipping Address, عنوان الشحن
Create A New Account, إنشئ حساب جديد
Contact, التواصل
Customer information, معلومات العميل